,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,    3.6553,    0.410,    8.911, 0.000,    2.846,    4.464
certainty_valence_A,    0.0386,    0.090,    0.427, 0.670,   -0.139,    0.217
