,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,    3.7667,    0.141,   26.804, 0.000,    3.490,    4.044
certainty_valence_B,    0.0049,    0.006,    0.783, 0.435,   -0.007,    0.017
