CIK,filing_date,word_count,sentence_count,eps_current_q,eps_previous_q,filing_url
4962,2020-04-24,644066,6655,0.41,1.8,https://www.sec.gov/Archives/edgar/data/4962/0000004962-20-000054.txt
4969,2020-05-08,324682,4656,,,https://www.sec.gov/Archives/edgar/data/4969/0000004969-20-000033.txt
4977,2020-04-30,371746,8381,0.78,1.23,https://www.sec.gov/Archives/edgar/data/4977/0000004977-20-000056.txt
5272,2020-05-05,2145977,17824,1.98,0.75,https://www.sec.gov/Archives/edgar/data/5272/0001104659-20-056631.txt
5513,2020-05-05,988559,7783,0.79,1.31,https://www.sec.gov/Archives/edgar/data/5513/0000005513-20-000076.txt
5981,2020-05-11,375453,3452,0.02,0.13,https://www.sec.gov/Archives/edgar/data/5981/0001564590-20-024220.txt
6176,2020-05-11,452032,3620,0.33,-1.21,https://www.sec.gov/Archives/edgar/data/6176/0001564590-20-024350.txt
6201,2020-04-30,839358,15596,-5.26,0.41,https://www.sec.gov/Archives/edgar/data/6201/0000006201-20-000066.txt
6281,2020-05-20,427406,5222,0.72,0.98,https://www.sec.gov/Archives/edgar/data/6281/0000006281-20-000087.txt
6494,2020-05-14,154161,3091,,,https://www.sec.gov/Archives/edgar/data/6494/0001206774-20-001637.txt
6769,2020-05-07,485307,5691,-11.86,-0.12,https://www.sec.gov/Archives/edgar/data/6769/0001733037-20-000008.txt
6879,2020-05-06,1911677,12003,1.0,1.16,https://www.sec.gov/Archives/edgar/data/6879/0000004904-20-000046.txt
6951,2020-05-21,737947,7598,0.82,0.7,https://www.sec.gov/Archives/edgar/data/6951/0000006951-20-000028.txt
7039,2020-05-08,408970,4787,0.42,0.07,https://www.sec.gov/Archives/edgar/data/7039/0000007039-20-000087.txt
7084,2020-05-01,531875,7232,0.69,0.41,https://www.sec.gov/Archives/edgar/data/7084/0000007084-20-000015.txt
7286,2020-05-08,725807,10249,0.27,0.16,https://www.sec.gov/Archives/edgar/data/7286/0000764622-20-000038.txt
7323,2020-05-11,3354998,15860,0.59,1.32,https://www.sec.gov/Archives/edgar/data/7323/0000065984-20-000154.txt
7332,2020-04-30,966385,13649,-2.86,1.1,https://www.sec.gov/Archives/edgar/data/7332/0000007332-20-000026.txt
7431,2020-04-27,621148,5867,-4.71,0.78,https://www.sec.gov/Archives/edgar/data/7431/0001564590-20-018674.txt
7536,2020-05-06,277879,3087,0.61,1.63,https://www.sec.gov/Archives/edgar/data/7536/0001775474-20-000006.txt
